,gender,GradeID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,StudentAbsenceDays
420,1,8,2,0,1,82,89,22,31,1,1,0
478,1,8,6,0,0,30,17,14,57,0,0,1
296,1,4,10,0,1,98,87,86,84,0,1,0
451,1,8,2,1,0,19,98,20,2,1,1,0
264,1,6,3,0,1,70,64,42,32,0,0,0
390,1,7,1,0,1,88,81,50,10,1,1,1
454,1,8,6,0,0,45,87,57,80,1,1,0
422,1,8,5,0,1,70,69,46,45,1,1,1
331,0,2,4,1,0,35,2,29,33,0,1,1
456,1,8,2,0,0,85,90,52,30,1,1,0
400,0,7,1,0,0,39,71,40,26,0,1,1
269,0,6,3,1,0,18,28,40,20,1,0,1
448,0,8,6,0,1,87,92,74,89,1,1,0
429,0,8,2,1,0,11,2,9,49,0,0,1
376,0,2,0,0,1,20,90,50,61,1,0,1
406,0,7,1,0,1,2,9,10,1,0,0,1
360,0,2,0,0,0,20,88,31,28,1,1,1
320,1,2,4,0,1,60,87,23,11,1,1,1
70,0,7,7,0,0,22,30,10,12,1,1,1
317,0,2,4,1,1,50,90,83,13,1,1,0
374,0,2,0,0,0,10,10,40,51,0,0,1
375,0,2,0,1,0,35,2,29,23,0,0,1
299,0,4,10,1,0,32,14,32,29,0,1,1
160,1,7,10,1,1,82,89,58,50,1,1,0
355,0,2,4,1,1,35,97,41,23,1,1,0
333,1,2,4,1,1,25,80,29,23,0,1,0
474,1,8,2,0,0,2,7,4,8,0,0,1
394,0,7,1,0,1,78,91,50,40,1,1,0
381,1,2,0,1,0,10,12,29,93,0,0,1
370,0,2,0,0,0,10,17,50,21,0,0,0
435,0,8,2,1,1,79,88,79,20,1,1,1
469,1,8,2,1,0,9,6,15,85,0,0,1
306,0,4,10,0,1,65,59,74,83,1,1,0
401,0,7,1,1,0,35,80,34,22,0,1,1
455,1,8,6,1,0,39,88,43,72,1,1,0
322,0,2,4,0,0,10,15,10,21,0,0,1
409,0,7,1,1,0,53,88,9,33,0,0,0
411,1,7,1,1,1,59,90,19,43,0,1,0
329,1,2,4,1,1,75,85,73,80,1,1,0
305,1,4,10,1,0,32,44,29,89,1,0,0
304,1,4,10,0,0,15,50,24,43,1,0,0
357,0,2,4,1,0,25,87,21,27,1,1,0
163,1,2,4,1,1,60,82,93,43,0,0,1
428,0,8,2,0,0,10,0,2,41,0,0,1
265,1,6,3,1,1,79,84,82,37,0,0,0
443,0,8,6,1,1,70,76,65,70,1,1,1
233,1,7,10,1,1,32,80,58,46,1,1,1
174,1,2,4,1,0,50,62,73,43,1,0,1
346,1,2,4,1,1,24,97,15,14,0,1,0
310,0,4,10,0,0,25,29,34,33,0,1,1
