dataset, model_type, algorithm, D1_size, D2_size, D1_zeros, D2_zeros, D1_pred_zeros, D2_pred_zeros, M1_acc, M1_test_acc, M2_acc, M2_test_acc, M1_acc_on_D2, M1_acc_on_D2_test, M2_acc_on_D1, M2_acc_on_D1_test, D1_rec, D1_norec, cf1_inv_by_M2, D2_rec, D2_norec, cf2_inv_by_M1, M1_crossacc, M2_crossacc, comment
temporal, LogisticRegression, ActionableRecourse, 8395, 8595, 5203, 5430, 5601.0, 5748.0, 0.9402025014889815, 0.9463519313304721, 0.9548574752763235, 0.9475890985324947, 0.943804537521815, 0.9412997903563941, 0.941870160810006, 0.9495708154506438, 5592, 9, 96.60228898426323, 5748, 0, 3.7230340988169797, 0.9390118264258959, 0.9540437772423316, COM
temporal, LogisticRegression, Counterfactuals, 8395, 8595, 5203, 5430, 5601.0, 5748.0, 0.9402025014889815, 0.9463519313304721, 0.9548574752763235, 0.9475890985324947, 0.943804537521815, 0.9412997903563941, 0.941870160810006, 0.9495708154506438, 5601, 0, 98.2860203535083, 5748, 0, 4.157967988865696, 0.9390118264258959, 0.9540437772423316, COM
temporal, RandomForestClassifier, ActionableRecourse, 8395, 8595, 5203, 5430, 5204.0, 5430.0, 0.9994044073853484, 0.9935622317596566, 0.9995346131471786, 0.9916142557651991, 0.9940663176265271, 0.9926624737945493, 0.9802263251935676, 0.9753218884120172, 4435, 769, 0.04509582863585493, 1426, 4004, 0.4908835904628317, 0.9947587800949128, 0.9951134363916939, COM
temporal, RandomForestClassifier, Counterfactuals, 8395, 8595, 5203, 5430, 5204.0, 5430.0, 0.9994044073853484, 0.9935622317596566, 0.9995346131471786, 0.9916142557651991, 0.9940663176265271, 0.9926624737945493, 0.9802263251935676, 0.9753218884120172, 5196, 8, 0.7120862201693612, 5424, 6, 0.6452802359881993, 0.9947587800949128, 0.9951134363916939, COM
temporal, XGBClassifier, ActionableRecourse, 8395, 8595, 5203, 5430, 5203.0, 5430.0, 1.0, 0.9989270386266095, 1.0, 0.9968553459119497, 0.9946480511925538, 0.9926624737945493, 0.9612864800476474, 0.9624463519313304, 1459, 3744, 0.0, 1367, 4063, 0.0, 0.9973791067690613, 0.9974402360776458, COM
temporal, XGBClassifier, Counterfactuals, 8395, 8595, 5203, 5430, 5203.0, 5430.0, 1.0, 0.9989270386266095, 1.0, 0.9968553459119497, 0.9946480511925538, 0.9926624737945493, 0.9612864800476474, 0.9624463519313304, 5187, 16, 0.46269519953729965, 5415, 15, 0.0, 0.9973791067690613, 0.9974402360776458, COM
temporal, LinearSVC, ActionableRecourse, 8395, 8595, 5203, 5430, 6108.0, 3662.0, 0.8783799880881477, 0.8733905579399142, 0.785456660849331, 0.8060796645702306, 0.8673647469458988, 0.860587002096436, 0.8846932698034544, 0.9055793991416309, 6108, 0, 3.045186640471509, 1321, 2341, 100.0, 0.8067894212003189, 0.7889713566342692, COM
temporal, LinearSVC, Counterfactuals, 8395, 8595, 5203, 5430, 6108.0, 3662.0, 0.8783799880881477, 0.8733905579399142, 0.785456660849331, 0.8060796645702306, 0.8673647469458988, 0.860587002096436, 0.8846932698034544, 0.9055793991416309, 6108, 0, 100.0, 3662, 0, 100.0, 0.8067894212003189, 0.7889713566342692, COM
temporal, MLPClassifier, ActionableRecourse, 8395, 8595, 5203, 5430, 5229.0, 5408.0, 0.9969029184038118, 0.9967811158798283, 0.9948807446189645, 0.9926624737945493, 0.9932518906340896, 0.9937106918238994, 0.9828469326980346, 0.9817596566523605, 1521, 3708, 19.26364234056541, 2182, 3226, 0.22914757103574823, 0.9944012118983808, 0.9936008609253595, COMARCH: [10, 10, 5]
temporal, MLPClassifier, Counterfactuals, 8395, 8595, 5203, 5430, 5229.0, 5408.0, 0.9969029184038118, 0.9967811158798283, 0.9948807446189645, 0.9926624737945493, 0.9932518906340896, 0.9937106918238994, 0.9828469326980346, 0.9817596566523605, 4955, 274, 91.3824419778002, 5402, 6, 9.95927434283599, 0.9944012118983808, 0.9936008609253595, COMARCH: [10, 10, 5]
